A7_1ppm,,
Wavelength (nm),Intensity (a.u.),
380,7.45866394,
381.0599976,10.35982895,
381.9599915,10.03664207,
383.0299988,10.56332874,
383.9299927,11.51962948,
385,13.90517235,
386.0599976,15.58235073,
386.9599915,17.05667496,
388.0299988,15.57275867,
388.9299927,18.13876534,
390,20.90189171,
391.0700073,23.04986382,
392,25.97852516,
393.0700073,26.90379906,
394,29.92518616,
395.0700073,31.6956749,
396,34.19290924,
397.0700073,41.46075439,
398,47.53985214,
399.0700073,47.01028061,
400,50.99741364,
401.0599976,54.55456161,
401.9599915,59.40803146,
403.0299988,66.83321381,
403.9299927,70.27075958,
405,73.67640686,
406.0599976,78.95908356,
406.9599915,87.01412201,
408.0299988,92.342453,
408.9299927,95.37617493,
410,104.4435272,
411.0599976,107.2987366,
411.9599915,117.1271744,
413.0299988,120.4500732,
413.9299927,126.8465042,
415,138.3782959,
416.0599976,145.2347717,
416.9599915,152.0619354,
418.0299988,154.1962891,
418.9299927,159.228714,
420,167.2307434,
421.0599976,181.4786682,
421.9599915,172.5990753,
423.0299988,186.8902893,
423.9299927,191.4252167,
425,196.1093445,
426.0599976,205.7728729,
426.9599915,210.1646118,
428.0299988,209.5627289,
428.9299927,221.3303375,
430,231.6962128,
431.0599976,235.1032715,
431.9599915,238.4810638,
433.0299988,243.1955566,
433.9299927,246.1203308,
435,257.078186,
436.0599976,257.2073364,
436.9599915,260.4906616,
438.0299988,254.9286804,
438.9299927,262.0909729,
440,265.7589417,
441.0599976,275.4090576,
441.9599915,267.8462524,
443.0299988,267.1897278,
443.9299927,272.3070984,
445,272.7853088,
446.0599976,274.1366577,
446.9599915,272.6655273,
448.0299988,278.2935791,
448.9299927,284.8803406,
450,284.1942444,
451.0599976,280.8737183,
451.9599915,278.90625,
453.0299988,287.5009766,
453.9299927,269.0804443,
455,274.9783936,
456.0599976,283.5592346,
456.9599915,272.9313965,
458.0299988,278.9212036,
458.9299927,275.9257813,
460,279.4422913,
461.0599976,276.8008423,
461.9599915,274.9382019,
463.0299988,272.5729675,
463.9299927,269.3760071,
465,264.3192139,
466.0599976,258.2911682,
466.9599915,252.0486755,
468.0299988,247.1918945,
468.9299927,246.3955383,
470,244.3382568,
471.0400085,245.7916565,
471.9400024,240.3084869,
472.980011,227.7391968,
474.019989,234.6693878,
475.0700073,228.61203,
475.9700012,222.5352936,
477.0100098,222.1652222,
478.0499878,219.2036133,
478.9500122,211.9681549,
480,203.2822266,
481.0400085,198.2985992,
481.9400024,199.5560303,
482.980011,199.0414276,
484.019989,190.8874817,
485.0700073,190.427887,
485.9700012,183.8470154,
487.0100098,170.7806549,
488.0499878,173.8559418,
488.9500122,170.4075317,
490,166.5029144,
491.0599976,164.5785065,
491.9599915,161.9797516,
493.0299988,148.0450897,
493.9299927,148.674408,
495,145.344986,
496.0599976,148.472229,
496.9599915,135.9164581,
498.0299988,136.5315857,
498.9299927,131.7584229,
500,129.0803223,
501.0400085,125.4276505,
501.9400024,123.5373611,
502.980011,122.156723,
504.019989,116.4529419,
505.0700073,110.083313,
505.9700012,113.2685089,
507.0100098,111.2158737,
508.0499878,102.6960373,
508.9500122,100.4909821,
510,101.9688797,
511.0400085,93.09103394,
511.9400024,95.75387573,
512.9799805,90.89640808,
514.0200195,85.29936981,
515.0700073,81.40877533,
515.9699707,78.81956482,
517.0100098,80.99855804,
518.0499878,73.24339294,
518.9500122,75.5117569,
520,71.88652039,
521.0200195,67.95684052,
522.0499878,68.09812164,
522.9400024,64.66805267,
523.9699707,59.85010529,
525,62.20406723,
526.0200195,58.95411682,
527.0499878,56.16996384,
527.9400024,54.53202057,
528.9699707,55.27622604,
530,50.7695694,
531.039978,51.71987152,
531.9400024,49.89863205,
532.9799805,46.19196701,
534.0200195,45.25563431,
535.0700073,43.97478485,
535.9699707,41.68364716,
537.0100098,42.50671768,
538.0499878,41.46683502,
538.9500122,42.22076035,
540,37.80641174,
541.0200195,37.38724136,
542.0499878,34.46448135,
542.9400024,33.27154922,
543.9699707,33.67144394,
545,32.9012146,
546.0200195,30.60181999,
547.0499878,30.15553856,
547.9400024,27.30104256,
548.9699707,27.31352997,
550,25.00456047,
551.039978,26.46422768,
551.9400024,25.59695625,
552.9799805,24.44294739,
554.0200195,23.98586273,
555.0700073,24.30400085,
555.9699707,20.14489365,
557.0100098,21.78030205,
558.0499878,21.51322556,
558.9500122,20.69817734,
560,19.727911,
561.0200195,19.60814285,
562.0499878,17.81945992,
562.9400024,17.50882339,
563.9699707,16.38199806,
565,16.56479073,
566.0200195,16.61093712,
567.0499878,14.70924473,
567.9400024,15.09140396,
568.9699707,15.13351822,
570,12.52603149,
571.0200195,12.58452606,
572.0499878,13.90687656,
572.9400024,12.10936928,
573.9699707,12.34396267,
575,10.92728424,
576.0200195,11.08924484,
577.0499878,10.91547108,
577.9400024,10.11362362,
578.9699707,10.20691395,
580,9.500969887,

A7_1ppm,
A7_1ppm
Collection Time: 10/30/2025 4:45:49 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY14470004
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        380.00
Stop (nm)                         580.00
Ex. Wavelength (nm)               350.00
Ex. Slit (nm)                     2.5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : C:\Users\Public\Documents\Agilent\Cary Eclipse WInFLR\Default.FMSW
Date/Time stamp: 10/30/2025 2:51:52 PM
Method Modifications:
Overlayed Graphs Changed: 10/30/2025 2:52:11 PM, Old:OFF, New:ON
Autoconvert Changed: 10/30/2025 2:52:11 PM, Old:None, New:Ascii with Log
Ex. Slit Width (nm): Changed: 10/30/2025 2:52:11 PM, Old:5, New:2.5
Emission Wavelength Changed: 10/30/2025 2:52:11 PM, Old: 400.00, New: 380.00
Stop Wavelength Changed: 10/30/2025 2:52:11 PM, Old: 600.00, New: 580.00
End Method Modifications

