B3,,
Wavelength (nm),Intensity (a.u.),
380,10.93226337,
381.0599976,10.85219097,
381.9599915,13.36240959,
383.0299988,13.7707634,
383.9299927,15.11078358,
385,17.10031509,
386.0599976,18.67835808,
386.9599915,20.75930977,
388.0299988,23.58540916,
388.9299927,24.4057579,
390,30.03719902,
391.0700073,32.24040604,
392,35.24310303,
393.0700073,36.39409256,
394,43.20640945,
395.0700073,46.80440521,
396,53.73842239,
397.0700073,57.20161819,
398,65.86548615,
399.0700073,73.85353088,
400,77.73890686,
401.0599976,86.07222748,
401.9599915,87.19412231,
403.0299988,96.85211182,
403.9299927,103.585907,
405,109.821846,
406.0599976,119.1248398,
406.9599915,123.0178299,
408.0299988,137.6179657,
408.9299927,146.1002655,
410,161.7476044,
411.0599976,164.8220825,
411.9599915,177.1580353,
413.0299988,183.7081146,
413.9299927,196.0253906,
415,208.0276337,
416.0599976,210.1090851,
416.9599915,226.0130615,
418.0299988,239.930603,
418.9299927,252.8586121,
420,261.2554626,
421.0599976,269.7617798,
421.9599915,279.1085815,
423.0299988,287.4699097,
423.9299927,293.5113831,
425,306.3721008,
426.0599976,307.5414734,
426.9599915,322.9385986,
428.0299988,320.194458,
428.9299927,335.3343811,
430,338.078186,
431.0599976,344.5778198,
431.9599915,354.815033,
433.0299988,357.8208618,
433.9299927,374.6718445,
435,371.3218079,
436.0599976,390.7647705,
436.9599915,389.9005432,
438.0299988,399.7728882,
438.9299927,404.7486572,
440,395.2449341,
441.0599976,415.464447,
441.9599915,406.5071411,
443.0299988,415.0012512,
443.9299927,412.4555664,
445,413.6361389,
446.0599976,425.5238647,
446.9599915,426.2905273,
448.0299988,420.2077332,
448.9299927,417.4272766,
450,428.804718,
451.0599976,422.9555664,
451.9599915,422.5835571,
453.0299988,426.1290894,
453.9299927,420.0956726,
455,431.4573975,
456.0599976,431.9730225,
456.9599915,423.9697876,
458.0299988,413.1182251,
458.9299927,414.9854126,
460,418.4885559,
461.0599976,415.7682495,
461.9599915,402.6912231,
463.0299988,407.9893494,
463.9299927,404.8847656,
465,398.9502563,
466.0599976,389.4888916,
466.9599915,386.1807556,
468.0299988,386.3615417,
468.9299927,365.6140442,
470,363.6920166,
471.0400085,365.5662537,
471.9400024,359.4957886,
472.980011,360.0986633,
474.019989,350.4615173,
475.0700073,346.1724243,
475.9700012,338.535614,
477.0100098,331.4191284,
478.0499878,324.4806213,
478.9500122,318.5795593,
480,320.0055542,
481.0400085,302.6618347,
481.9400024,302.3973694,
482.980011,297.5498962,
484.019989,289.8984375,
485.0700073,284.3658142,
485.9700012,275.2892456,
487.0100098,274.3635864,
488.0499878,259.2564087,
488.9500122,254.0054932,
490,243.1506805,
491.0599976,247.8479614,
491.9599915,238.1040192,
493.0299988,235.6022644,
493.9299927,221.5432434,
495,219.1274261,
496.0599976,215.6702423,
496.9599915,212.6008453,
498.0299988,204.8845978,
498.9299927,201.8048859,
500,199.1036682,
501.0400085,189.2072296,
501.9400024,186.4117584,
502.980011,175.047226,
504.019989,183.5344391,
505.0700073,166.0765533,
505.9700012,174.8299103,
507.0100098,163.7984619,
508.0499878,162.9399872,
508.9500122,150.3482056,
510,147.8278046,
511.0400085,142.6262512,
511.9400024,144.8211517,
512.9799805,136.7329865,
514.0200195,132.9461823,
515.0700073,130.8499603,
515.9699707,120.9021759,
517.0100098,118.0762711,
518.0499878,116.2571487,
518.9500122,111.8126144,
520,111.2304688,
521.0200195,101.0801697,
522.0499878,105.7048264,
522.9400024,97.61068726,
523.9699707,97.11798096,
525,97.65881348,
526.0200195,90.62837982,
527.0499878,90.68878174,
527.9400024,82.79018402,
528.9699707,82.37601471,
530,81.26721191,
531.039978,76.38078308,
531.9400024,82.58628082,
532.9799805,75.82901764,
534.0200195,74.08271027,
535.0700073,66.99214935,
535.9699707,64.57062531,
537.0100098,63.12169266,
538.0499878,61.45782471,
538.9500122,59.15065765,
540,54.28832626,
541.0200195,57.81074905,
542.0499878,53.12358475,
542.9400024,54.64346313,
543.9699707,51.690979,
545,50.50677109,
546.0200195,45.72991562,
547.0499878,44.96504974,
547.9400024,42.52703857,
548.9699707,43.50453949,
550,42.08181,
551.039978,39.48231125,
551.9400024,42.02151489,
552.9799805,38.09903336,
554.0200195,36.55373001,
555.0700073,34.05430222,
555.9699707,35.35290909,
557.0100098,33.8613739,
558.0499878,31.51589203,
558.9500122,32.30847931,
560,29.25375938,
561.0200195,29.3682518,
562.0499878,27.84366608,
562.9400024,26.29534149,
563.9699707,25.63339615,
565,25.6917305,
566.0200195,22.58824921,
567.0499878,23.81138039,
567.9400024,23.09666443,
568.9699707,21.91545868,
570,19.21846962,
571.0200195,20.31821442,
572.0499878,20.80650902,
572.9400024,19.53665352,
573.9699707,17.31132507,
575,16.82060623,
576.0200195,16.86190605,
577.0499878,16.59108734,
577.9400024,15.74875641,
578.9699707,15.44725513,
580,14.92445278,

B3,
B3
Collection Time: 10/30/2025 5:16:28 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY14470004
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        380.00
Stop (nm)                         580.00
Ex. Wavelength (nm)               350.00
Ex. Slit (nm)                     2.5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : C:\Users\Public\Documents\Agilent\Cary Eclipse WInFLR\Default.FMSW
Date/Time stamp: 10/30/2025 2:51:52 PM
Method Modifications:
Overlayed Graphs Changed: 10/30/2025 2:52:11 PM, Old:OFF, New:ON
Autoconvert Changed: 10/30/2025 2:52:11 PM, Old:None, New:Ascii with Log
Ex. Slit Width (nm): Changed: 10/30/2025 2:52:11 PM, Old:5, New:2.5
Emission Wavelength Changed: 10/30/2025 2:52:11 PM, Old: 400.00, New: 380.00
Stop Wavelength Changed: 10/30/2025 2:52:11 PM, Old: 600.00, New: 580.00
Scan mode: Changed: 10/30/2025 5:02:27 PM, Old:Emission, New:Excitation
User Delta Increment Changed: 10/30/2025 5:02:27 PM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 10/30/2025 5:02:27 PM, Old: 350.00, New: 230.00
Emission Wavelength Changed: 10/30/2025 5:02:27 PM, Old: 380.00, New: 450.00
Stop Wavelength Changed: 10/30/2025 5:02:27 PM, Old: 580.00, New: 420.00
Scan mode: Changed: 10/30/2025 5:06:35 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 10/30/2025 5:06:35 PM, Old: 230.00, New: 350.00
Emission Wavelength Changed: 10/30/2025 5:06:35 PM, Old: 450.00, New: 380.00
Stop Wavelength Changed: 10/30/2025 5:06:35 PM, Old: 420.00, New: 580.00
End Method Modifications

