B7_1ppm,,
Wavelength (nm),Intensity (a.u.),
380,15.40174675,
381.0599976,15.92566109,
381.9599915,16.63569641,
383.0299988,18.78282547,
383.9299927,20.61622047,
385,20.65126228,
386.0599976,23.67351723,
386.9599915,25.50048065,
388.0299988,26.70923996,
388.9299927,29.97451782,
390,33.73134613,
391.0700073,33.2479248,
392,34.81306076,
393.0700073,43.14135742,
394,44.55285263,
395.0700073,50.11995697,
396,53.27019882,
397.0700073,57.54573441,
398,61.28882599,
399.0700073,69.11956024,
400,76.18887329,
401.0599976,79.47661591,
401.9599915,82.25102234,
403.0299988,87.49005127,
403.9299927,93.57563019,
405,105.9385147,
406.0599976,111.359787,
406.9599915,122.8503876,
408.0299988,122.9319839,
408.9299927,130.0530548,
410,147.5793915,
411.0599976,152.6013336,
411.9599915,158.1723022,
413.0299988,167.8218536,
413.9299927,179.4848175,
415,190.29039,
416.0599976,197.3530121,
416.9599915,204.8794861,
418.0299988,216.662796,
418.9299927,223.1763611,
420,229.5648651,
421.0599976,243.6304626,
421.9599915,249.3583832,
423.0299988,257.4768372,
423.9299927,265.0427246,
425,271.1100464,
426.0599976,279.9387512,
426.9599915,284.9447632,
428.0299988,291.1997681,
428.9299927,297.4340515,
430,310.5381775,
431.0599976,314.5662231,
431.9599915,319.5037231,
433.0299988,327.0453796,
433.9299927,331.6861877,
435,340.8599243,
436.0599976,341.6802979,
436.9599915,345.1331482,
438.0299988,348.7914734,
438.9299927,346.347229,
440,359.9672241,
441.0599976,368.3685913,
441.9599915,367.2892761,
443.0299988,368.8731995,
443.9299927,360.9675293,
445,365.5058899,
446.0599976,382.8171692,
446.9599915,373.5274048,
448.0299988,379.4561157,
448.9299927,375.4133911,
450,376.8673096,
451.0599976,379.8529358,
451.9599915,376.421814,
453.0299988,389.869812,
453.9299927,387.6002197,
455,380.5980835,
456.0599976,383.5650024,
456.9599915,376.3762512,
458.0299988,377.6337585,
458.9299927,368.9017334,
460,365.6596375,
461.0599976,369.880249,
461.9599915,370.4037781,
463.0299988,365.3836975,
463.9299927,365.9409485,
465,355.3279114,
466.0599976,349.5764771,
466.9599915,348.5032349,
468.0299988,340.8960266,
468.9299927,343.0672913,
470,326.7347107,
471.0400085,334.5992126,
471.9400024,319.1382446,
472.980011,318.5864258,
474.019989,317.3427734,
475.0700073,306.168457,
475.9700012,302.7155457,
477.0100098,310.3016357,
478.0499878,291.1404114,
478.9500122,288.9872742,
480,288.6795654,
481.0400085,281.3863525,
481.9400024,275.4993896,
482.980011,269.8183594,
484.019989,265.0849304,
485.0700073,245.5601349,
485.9700012,254.2315674,
487.0100098,251.340744,
488.0499878,235.18927,
488.9500122,229.6349487,
490,220.6338043,
491.0599976,225.5823669,
491.9599915,214.0016479,
493.0299988,200.0217285,
493.9299927,205.2671204,
495,201.1137085,
496.0599976,192.7681122,
496.9599915,192.5431976,
498.0299988,186.3603821,
498.9299927,182.6653137,
500,174.4641113,
501.0400085,171.6542511,
501.9400024,165.5172424,
502.980011,159.6799316,
504.019989,153.7195129,
505.0700073,150.8615265,
505.9700012,152.5748444,
507.0100098,144.973465,
508.0499878,141.5249481,
508.9500122,134.5028229,
510,133.8349609,
511.0400085,130.3721924,
511.9400024,122.6670837,
512.9799805,121.8136444,
514.0200195,120.2261963,
515.0700073,115.122963,
515.9699707,111.6421967,
517.0100098,109.7848053,
518.0499878,101.9279938,
518.9500122,102.730423,
520,101.0420227,
521.0200195,93.56591034,
522.0499878,90.76435852,
522.9400024,89.33640289,
523.9699707,92.3639679,
525,85.22727203,
526.0200195,82.58641052,
527.0499878,78.84494781,
527.9400024,78.90840912,
528.9699707,71.65719604,
530,74.20868683,
531.039978,68.68528748,
531.9400024,65.95783234,
532.9799805,63.73592377,
534.0200195,62.91929626,
535.0700073,62.60253525,
535.9699707,60.73993683,
537.0100098,54.20474625,
538.0499878,60.04686737,
538.9500122,54.27981567,
540,55.13578796,
541.0200195,50.03547668,
542.0499878,46.02619934,
542.9400024,46.65256119,
543.9699707,44.43353271,
545,42.38479614,
546.0200195,40.08187103,
547.0499878,39.55864716,
547.9400024,38.43495178,
548.9699707,40.24001312,
550,36.71409607,
551.039978,34.98179626,
551.9400024,35.13168716,
552.9799805,33.46393585,
554.0200195,30.66721916,
555.0700073,29.60752869,
555.9699707,30.36780167,
557.0100098,29.63241386,
558.0499878,26.81670189,
558.9500122,27.78851128,
560,27.58281708,
561.0200195,25.51967239,
562.0499878,25.62996674,
562.9400024,24.01522255,
563.9699707,22.3074398,
565,22.82551384,
566.0200195,22.93056297,
567.0499878,23.3008194,
567.9400024,21.74081802,
568.9699707,19.46139908,
570,18.68108559,
571.0200195,17.37230492,
572.0499878,16.99409294,
572.9400024,16.69574356,
573.9699707,17.45735168,
575,16.22514343,
576.0200195,14.78019142,
577.0499878,14.1439209,
577.9400024,12.43355656,
578.9699707,14.96143436,
580,14.32837677,

B7_1ppm,
B7_1ppm
Collection Time: 10/30/2025 5:15:04 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY14470004
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        380.00
Stop (nm)                         580.00
Ex. Wavelength (nm)               350.00
Ex. Slit (nm)                     2.5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : C:\Users\Public\Documents\Agilent\Cary Eclipse WInFLR\Default.FMSW
Date/Time stamp: 10/30/2025 2:51:52 PM
Method Modifications:
Overlayed Graphs Changed: 10/30/2025 2:52:11 PM, Old:OFF, New:ON
Autoconvert Changed: 10/30/2025 2:52:11 PM, Old:None, New:Ascii with Log
Ex. Slit Width (nm): Changed: 10/30/2025 2:52:11 PM, Old:5, New:2.5
Emission Wavelength Changed: 10/30/2025 2:52:11 PM, Old: 400.00, New: 380.00
Stop Wavelength Changed: 10/30/2025 2:52:11 PM, Old: 600.00, New: 580.00
Scan mode: Changed: 10/30/2025 5:02:27 PM, Old:Emission, New:Excitation
User Delta Increment Changed: 10/30/2025 5:02:27 PM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 10/30/2025 5:02:27 PM, Old: 350.00, New: 230.00
Emission Wavelength Changed: 10/30/2025 5:02:27 PM, Old: 380.00, New: 450.00
Stop Wavelength Changed: 10/30/2025 5:02:27 PM, Old: 580.00, New: 420.00
Scan mode: Changed: 10/30/2025 5:06:35 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 10/30/2025 5:06:35 PM, Old: 230.00, New: 350.00
Emission Wavelength Changed: 10/30/2025 5:06:35 PM, Old: 450.00, New: 380.00
Stop Wavelength Changed: 10/30/2025 5:06:35 PM, Old: 420.00, New: 580.00
End Method Modifications

