C1,,
Wavelength (nm),Intensity (a.u.),
380,15.34954834,
381.0599976,16.8078289,
381.9599915,18.75332642,
383.0299988,21.38296127,
383.9299927,22.30194855,
385,25.40037155,
386.0599976,28.90753746,
386.9599915,31.4154892,
388.0299988,34.60884476,
388.9299927,37.74908447,
390,43.93137741,
391.0700073,51.32061005,
392,56.16819,
393.0700073,61.04525375,
394,66.45598602,
395.0700073,76.01438141,
396,89.28842163,
397.0700073,91.60671234,
398,97.97194672,
399.0700073,114.67276,
400,122.5480576,
401.0599976,125.0553436,
401.9599915,133.9043427,
403.0299988,153.1056213,
403.9299927,161.9315643,
405,176.8705444,
406.0599976,188.7348328,
406.9599915,207.8890991,
408.0299988,215.5474854,
408.9299927,237.217453,
410,256.6539612,
411.0599976,257.038208,
411.9599915,277.3210144,
413.0299988,297.9932861,
413.9299927,302.8907471,
415,323.768158,
416.0599976,337.0196533,
416.9599915,360.3222656,
418.0299988,377.8208008,
418.9299927,394.0384216,
420,407.3355408,
421.0599976,415.4360657,
421.9599915,438.9678345,
423.0299988,444.4971619,
423.9299927,455.7521362,
425,468.8850098,
426.0599976,486.8128662,
426.9599915,504.7547913,
428.0299988,516.1895142,
428.9299927,536.9750366,
430,534.4830322,
431.0599976,548.15625,
431.9599915,554.6541748,
433.0299988,581.5560913,
433.9299927,571.7978516,
435,598.9329224,
436.0599976,603.4119873,
436.9599915,609.7996216,
438.0299988,630.0311279,
438.9299927,633.4781494,
440,636.7636719,
441.0599976,639.3991699,
441.9599915,645.8743896,
443.0299988,643.0369873,
443.9299927,652.7866211,
445,651.9719849,
446.0599976,654.2492676,
446.9599915,649.2823486,
448.0299988,668.1228638,
448.9299927,667.3223267,
450,639.5460205,
451.0599976,663.9572754,
451.9599915,659.1013794,
453.0299988,669.4282227,
453.9299927,674.249939,
455,662.9050903,
456.0599976,664.4730835,
456.9599915,689.3212891,
458.0299988,660.1134644,
458.9299927,664.1993408,
460,651.1375732,
461.0599976,648.0536499,
461.9599915,643.9241943,
463.0299988,669.2572632,
463.9299927,670.5580444,
465,666.137207,
466.0599976,632.7870483,
466.9599915,632.5623779,
468.0299988,613.3076172,
468.9299927,596.7816772,
470,586.3953247,
471.0400085,574.668396,
471.9400024,577.4877319,
472.980011,557.8793945,
474.019989,549.2322388,
475.0700073,534.2438965,
475.9700012,534.6784058,
477.0100098,530.0470581,
478.0499878,506.5148926,
478.9500122,498.6209106,
480,497.2485046,
481.0400085,487.5159607,
481.9400024,476.1061707,
482.980011,454.0928955,
484.019989,446.0610657,
485.0700073,431.3719482,
485.9700012,429.0396423,
487.0100098,422.1039124,
488.0499878,417.3590393,
488.9500122,411.8120422,
490,393.2767029,
491.0599976,380.6340942,
491.9599915,374.702179,
493.0299988,371.9906311,
493.9299927,354.8928833,
495,335.8102722,
496.0599976,338.9725037,
496.9599915,327.6789246,
498.0299988,312.8575134,
498.9299927,312.3780518,
500,298.9895325,
501.0400085,296.5239563,
501.9400024,285.0997314,
502.980011,276.5557251,
504.019989,278.3197937,
505.0700073,264.2099609,
505.9700012,253.2618866,
507.0100098,250.0571899,
508.0499878,251.9233856,
508.9500122,239.3289337,
510,228.5714264,
511.0400085,220.4151001,
511.9400024,218.8611755,
512.9799805,210.9793549,
514.0200195,205.1000061,
515.0700073,197.0607147,
515.9699707,194.9168243,
517.0100098,184.703186,
518.0499878,179.9513245,
518.9500122,178.3457031,
520,177.0645294,
521.0200195,165.5373383,
522.0499878,159.0839996,
522.9400024,154.9766998,
523.9699707,148.8278961,
525,145.7428589,
526.0200195,136.3657532,
527.0499878,136.7373505,
527.9400024,131.7283325,
528.9699707,127.3719788,
530,124.0217285,
531.039978,120.2851028,
531.9400024,121.3000107,
532.9799805,116.6877518,
534.0200195,105.612915,
535.0700073,106.6731873,
535.9699707,102.3873062,
537.0100098,95.18871307,
538.0499878,93.36314392,
538.9500122,90.49628448,
540,90.53555298,
541.0200195,88.31396484,
542.0499878,82.03154755,
542.9400024,83.12445831,
543.9699707,82.7585144,
545,78.93804169,
546.0200195,73.5375824,
547.0499878,73.30052185,
