C7_1ppm,,
Wavelength (nm),Intensity (a.u.),
380,17.49132538,
381.0599976,17.89345741,
381.9599915,18.96943474,
383.0299988,17.55373573,
383.9299927,20.32550812,
385,20.77751923,
386.0599976,24.07938385,
386.9599915,25.72182465,
388.0299988,28.44463348,
388.9299927,29.39786911,
390,34.51032639,
391.0700073,35.01574326,
392,38.04882431,
393.0700073,42.11933899,
394,43.34435272,
395.0700073,47.13794708,
396,55.67324448,
397.0700073,58.93536377,
398,62.37743378,
399.0700073,68.39778137,
400,77.31536865,
401.0599976,80.9389267,
401.9599915,86.56138611,
403.0299988,90.15882111,
403.9299927,94.51977539,
405,106.8990173,
406.0599976,111.4955673,
406.9599915,114.7637177,
408.0299988,124.5419006,
408.9299927,128.2622528,
410,142.9932098,
411.0599976,154.8928986,
411.9599915,159.4406281,
413.0299988,166.4488525,
413.9299927,170.5163574,
415,181.6568146,
416.0599976,194.9201813,
416.9599915,199.4334564,
418.0299988,206.919342,
418.9299927,217.8534851,
420,227.6390228,
421.0599976,237.7712555,
421.9599915,241.3893127,
423.0299988,252.457077,
423.9299927,249.0064392,
425,264.3969727,
426.0599976,268.1036987,
426.9599915,287.3008118,
428.0299988,287.3891602,
428.9299927,290.4040833,
430,306.4145508,
431.0599976,310.8908386,
431.9599915,309.3963013,
433.0299988,322.0810547,
433.9299927,327.0013123,
435,332.4185181,
436.0599976,339.8037109,
436.9599915,344.6224365,
438.0299988,347.5178528,
438.9299927,346.5351257,
440,350.8226624,
441.0599976,346.663208,
441.9599915,353.62854,
443.0299988,356.2543945,
443.9299927,366.3235168,
445,364.6554565,
446.0599976,365.6716309,
446.9599915,362.2747192,
448.0299988,361.419342,
448.9299927,370.4241028,
450,370.8614502,
451.0599976,372.6664429,
451.9599915,370.7706299,
453.0299988,373.0503235,
453.9299927,375.742218,
455,367.1340027,
456.0599976,370.5597534,
456.9599915,387.728363,
458.0299988,373.6638489,
458.9299927,370.739563,
460,363.9502563,
461.0599976,356.5472412,
461.9599915,358.8668518,
463.0299988,352.6425171,
463.9299927,349.2442932,
465,347.0782471,
466.0599976,339.6634216,
466.9599915,340.9408264,
468.0299988,324.8963318,
468.9299927,326.3668823,
470,320.0080872,
471.0400085,325.46521,
471.9400024,318.7275391,
472.980011,306.7819824,
474.019989,305.2531128,
475.0700073,299.8572998,
475.9700012,289.0905151,
477.0100098,289.4819031,
478.0499878,274.2371521,
478.9500122,281.7349854,
480,274.7210083,
481.0400085,261.6788635,
481.9400024,266.7282715,
482.980011,259.6523743,
484.019989,250.1639404,
485.0700073,242.7336426,
485.9700012,242.5373688,
487.0100098,233.5972443,
488.0499878,229.5579681,
488.9500122,226.3091583,
490,218.6940918,
491.0599976,213.8351288,
491.9599915,208.6338806,
493.0299988,202.7144928,
493.9299927,196.5313416,
495,193.0251465,
496.0599976,189.6057587,
496.9599915,185.5275574,
498.0299988,180.0574036,
498.9299927,176.8631439,
500,173.7980042,
501.0400085,163.475647,
501.9400024,160.2292023,
502.980011,154.9188843,
504.019989,153.1455994,
505.0700073,144.7790375,
505.9700012,142.7362823,
507.0100098,143.5501251,
508.0499878,135.206955,
508.9500122,130.2105865,
510,128.2771454,
511.0400085,126.0836563,
511.9400024,120.5715942,
512.9799805,122.5295792,
514.0200195,109.7122269,
515.0700073,108.6154022,
515.9699707,109.985466,
517.0100098,107.5255585,
