Salt C,,
Wavelength (nm),Intensity (a.u.),
380,2.36956501,
381.0599976,3.245234489,
381.9599915,3.364146948,
383.0299988,3.562385798,
383.9299927,4.163110256,
385,3.770795822,
386.0599976,4.604449272,
386.9599915,5.428181648,
388.0299988,5.88956356,
388.9299927,6.644164562,
390,6.652422428,
391.0700073,8.631877899,
392,8.565048218,
393.0700073,8.37932682,
394,10.16736317,
395.0700073,10.83026886,
396,12.33652973,
397.0700073,14.01121521,
398,15.12568569,
399.0700073,15.33055019,
400,18.9230957,
401.0599976,17.79587364,
401.9599915,17.66168022,
403.0299988,18.52049828,
403.9299927,20.59876251,
405,21.87112999,
406.0599976,23.17024994,
406.9599915,21.69445229,
408.0299988,24.01506615,
408.9299927,25.75068092,
410,27.96969795,
411.0599976,32.95249557,
411.9599915,29.99892616,
413.0299988,33.04422379,
413.9299927,35.22869492,
415,37.97216034,
416.0599976,38.15193176,
416.9599915,41.11791992,
418.0299988,40.48315048,
418.9299927,41.68548965,
420,42.85781097,
421.0599976,47.03293228,
421.9599915,47.67254639,
423.0299988,49.22668076,
423.9299927,48.59856415,
425,50.98917007,
426.0599976,54.95301437,
426.9599915,54.97357941,
428.0299988,56.45882797,
428.9299927,56.83278275,
430,56.77284622,
431.0599976,61.0333786,
431.9599915,59.91375732,
433.0299988,62.34487915,
433.9299927,61.74670792,
435,64.22148895,
436.0599976,63.61167145,
436.9599915,61.87593842,
438.0299988,64.56788635,
438.9299927,70.6158905,
440,65.16514587,
441.0599976,69.70385742,
441.9599915,66.64838409,
443.0299988,71.24591064,
443.9299927,69.57855988,
445,68.35968018,
446.0599976,71.61868286,
446.9599915,69.32521057,
448.0299988,67.82807922,
448.9299927,69.6884613,
450,70.76937866,
451.0599976,68.69811249,
451.9599915,69.69512177,
453.0299988,71.08122253,
453.9299927,64.78881836,
455,68.73982239,
456.0599976,68.88710022,
456.9599915,66.68341064,
458.0299988,66.9413147,
458.9299927,67.18000793,
460,67.39817047,
461.0599976,66.5511322,
461.9599915,62.58513641,
463.0299988,65.60366821,
463.9299927,62.90873718,
465,62.50292969,
466.0599976,64.90392303,
466.9599915,60.65646744,
468.0299988,59.41179276,
468.9299927,58.27454758,
470,58.68599701,
471.0400085,57.47358322,
471.9400024,55.7535553,
472.980011,56.20372009,
474.019989,53.51303864,
475.0700073,54.34344864,
475.9700012,52.73373795,
477.0100098,51.60665131,
478.0499878,52.76850891,
478.9500122,47.67123795,
480,53.4182663,
481.0400085,47.96627426,
481.9400024,49.56555176,
482.980011,46.31152725,
484.019989,45.67477417,
485.0700073,45.20795441,
485.9700012,44.56806946,
487.0100098,42.54247284,
488.0499878,41.26768494,
488.9500122,41.84757996,
490,42.8940506,
491.0599976,39.13153076,
491.9599915,37.85611725,
493.0299988,36.30773163,
493.9299927,35.85539627,
495,33.04281235,
496.0599976,36.11488724,
496.9599915,33.19340134,
498.0299988,30.41585159,
498.9299927,28.61216927,
500,30.37353706,
501.0400085,30.26421356,
501.9400024,30.96812057,
502.980011,25.84685135,
504.019989,24.85238266,
505.0700073,25.63508987,
505.9700012,26.91629028,
507.0100098,23.50739479,
508.0499878,22.19879532,
508.9500122,23.01961327,
510,21.44526482,
511.0400085,18.50510788,
511.9400024,19.79323578,
512.9799805,22.6406498,
514.0200195,20.59623909,
515.0700073,19.39975357,
515.9699707,18.87857056,
517.0100098,19.05036163,
518.0499878,15.22734165,
518.9500122,16.74600983,
520,18.17099953,
521.0200195,16.13345909,
522.0499878,15.5791378,
522.9400024,15.01566124,
523.9699707,14.25203419,
525,14.76152039,
526.0200195,14.59976482,
527.0499878,13.29367542,
527.9400024,11.23493576,
528.9699707,12.19129086,
530,12.45106888,
531.039978,10.76836586,
531.9400024,10.93752384,
532.9799805,11.98113346,
534.0200195,10.62882042,
535.0700073,10.68683434,
535.9699707,10.31590557,
537.0100098,9.854542732,
538.0499878,8.635362625,
538.9500122,9.512430191,
540,8.466935158,
541.0200195,9.870918274,
542.0499878,7.808754921,
542.9400024,8.623448372,
543.9699707,8.320691109,
545,7.551224232,
546.0200195,7.320193291,
547.0499878,7.513512135,
547.9400024,6.377589703,
548.9699707,7.119031429,
550,6.94067049,
551.039978,6.977173805,
551.9400024,5.395849228,
552.9799805,6.059586048,
554.0200195,5.28057909,
555.0700073,4.868129253,
555.9699707,5.28669548,
557.0100098,5.271863937,
558.0499878,4.733198643,
558.9500122,4.676682472,
560,4.272317886,
561.0200195,4.06373167,
562.0499878,4.083888531,
562.9400024,4.40562439,
563.9699707,3.671521425,
565,3.511214256,
566.0200195,3.291868925,
567.0499878,3.394112825,
567.9400024,3.105448246,
568.9699707,3.15087676,
570,3.210150957,
571.0200195,2.945845366,
572.0499878,2.466941595,
572.9400024,3.041155815,
573.9699707,2.407325745,
575,2.277392387,
576.0200195,2.187179804,
577.0499878,2.143410921,
577.9400024,2.422644138,
578.9699707,2.781178474,
580,1.629904985,

Salt C,
Salt C
Collection Time: 10/30/2025 5:36:35 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY14470004
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        380.00
Stop (nm)                         580.00
Ex. Wavelength (nm)               350.00
Ex. Slit (nm)                     2.5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : C:\Users\Public\Documents\Agilent\Cary Eclipse WInFLR\Default.FMSW
Date/Time stamp: 10/30/2025 2:51:52 PM
Method Modifications:
Overlayed Graphs Changed: 10/30/2025 2:52:11 PM, Old:OFF, New:ON
Autoconvert Changed: 10/30/2025 2:52:11 PM, Old:None, New:Ascii with Log
Ex. Slit Width (nm): Changed: 10/30/2025 2:52:11 PM, Old:5, New:2.5
Emission Wavelength Changed: 10/30/2025 2:52:11 PM, Old: 400.00, New: 380.00
Stop Wavelength Changed: 10/30/2025 2:52:11 PM, Old: 600.00, New: 580.00
Scan mode: Changed: 10/30/2025 5:02:27 PM, Old:Emission, New:Excitation
User Delta Increment Changed: 10/30/2025 5:02:27 PM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 10/30/2025 5:02:27 PM, Old: 350.00, New: 230.00
Emission Wavelength Changed: 10/30/2025 5:02:27 PM, Old: 380.00, New: 450.00
Stop Wavelength Changed: 10/30/2025 5:02:27 PM, Old: 580.00, New: 420.00
Scan mode: Changed: 10/30/2025 5:06:35 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 10/30/2025 5:06:35 PM, Old: 230.00, New: 350.00
Emission Wavelength Changed: 10/30/2025 5:06:35 PM, Old: 450.00, New: 380.00
Stop Wavelength Changed: 10/30/2025 5:06:35 PM, Old: 420.00, New: 580.00
End Method Modifications

