Tci,,
Wavelength (nm),Intensity (a.u.),
380,14.13584805,
381.0599976,13.0652523,
381.9599915,15.53500557,
383.0299988,15.93731117,
383.9299927,15.63983822,
385,17.96919441,
386.0599976,18.76087952,
386.9599915,21.07216072,
388.0299988,21.6352272,
388.9299927,22.56680679,
390,24.60281372,
391.0700073,29.02403069,
392,30.70668411,
393.0700073,31.3404808,
394,33.88859558,
395.0700073,40.45836258,
396,41.07650757,
397.0700073,40.60332108,
398,48.15541077,
399.0700073,50.91501236,
400,53.6994133,
401.0599976,60.28046036,
401.9599915,62.56817245,
403.0299988,65.07555389,
403.9299927,72.06534576,
405,75.32261658,
406.0599976,84.02173615,
406.9599915,85.43727875,
408.0299988,94.45422363,
408.9299927,93.59434509,
410,101.4783325,
411.0599976,104.9735031,
411.9599915,115.9141541,
413.0299988,116.5680237,
413.9299927,127.2338028,
415,135.2260742,
416.0599976,136.9277954,
416.9599915,140.8882141,
418.0299988,149.6247559,
418.9299927,161.3660736,
420,163.5339203,
421.0599976,168.3569641,
421.9599915,176.0013885,
423.0299988,174.4580688,
423.9299927,181.2479095,
425,185.3531036,
426.0599976,193.2100983,
426.9599915,201.5606995,
428.0299988,208.9035797,
428.9299927,202.9099121,
430,217.335434,
431.0599976,223.21138,
431.9599915,226.3867798,
433.0299988,222.344162,
433.9299927,237.8630371,
435,239.3823547,
436.0599976,239.5075226,
436.9599915,235.5296783,
438.0299988,244.9563293,
438.9299927,251.5254669,
440,245.0127411,
441.0599976,255.5264893,
441.9599915,246.8742218,
443.0299988,249.3374023,
443.9299927,246.826889,
445,256.730072,
446.0599976,259.9821777,
446.9599915,259.2472534,
448.0299988,263.6152649,
448.9299927,265.4471436,
450,260.961731,
451.0599976,262.4269714,
451.9599915,265.631958,
453.0299988,263.8721924,
453.9299927,263.9111633,
455,258.6321106,
456.0599976,256.7890625,
456.9599915,259.549408,
458.0299988,261.4181824,
458.9299927,264.3904114,
460,255.53685,
461.0599976,256.6390991,
461.9599915,254.322052,
463.0299988,247.2870636,
463.9299927,249.2372131,
465,246.2466278,
466.0599976,240.5704041,
466.9599915,236.4343414,
468.0299988,237.9698639,
468.9299927,235.539505,
470,225.8989716,
471.0400085,234.1475525,
471.9400024,222.8332672,
472.980011,218.3987579,
474.019989,214.6560516,
475.0700073,215.6772156,
475.9700012,212.14505,
477.0100098,206.539505,
478.0499878,205.8401337,
478.9500122,197.2818909,
480,195.3166199,
481.0400085,192.7302551,
481.9400024,188.9349518,
482.980011,184.46138,
484.019989,175.2042542,
485.0700073,172.8154449,
485.9700012,174.5819092,
487.0100098,164.4644012,
488.0499878,167.7104187,
488.9500122,163.2354584,
490,156.2619324,
491.0599976,155.9164276,
491.9599915,151.7778168,
493.0299988,145.2090607,
493.9299927,141.6001892,
495,140.8973999,
496.0599976,133.240799,
496.9599915,132.9234619,
498.0299988,132.1050415,
498.9299927,129.5803986,
500,122.8234711,
501.0400085,118.1094971,
501.9400024,114.3257065,
502.980011,108.0640182,
504.019989,111.3619156,
505.0700073,98.11561584,
505.9700012,98.52423859,
507.0100098,104.0955658,
508.0499878,98.86149597,
508.9500122,91.43552399,
510,93.61722565,
511.0400085,89.2980957,
511.9400024,84.66673279,
512.9799805,84.95922852,
514.0200195,82.8553772,
515.0700073,83.24610901,
515.9699707,72.7587204,
517.0100098,71.58708954,
518.0499878,72.2924881,
518.9500122,70.91085815,
520,68.72122955,
521.0200195,65.18994904,
522.0499878,65.75216675,
522.9400024,65.22146606,
523.9699707,59.11131668,
525,57.8874588,
526.0200195,56.04797363,
527.0499878,54.08726501,
527.9400024,52.40589523,
528.9699707,50.11829758,
530,49.49222946,
