Tn,,
Wavelength (nm),Intensity (a.u.),
380,10.02556896,
381.0599976,9.618491173,
381.9599915,11.31821346,
383.0299988,12.7123661,
383.9299927,13.77178192,
385,14.34769535,
386.0599976,16.12244606,
386.9599915,18.25484276,
388.0299988,18.80308723,
388.9299927,20.53868866,
390,19.35999107,
391.0700073,23.41846466,
392,24.48315048,
393.0700073,30.07164192,
394,34.13051987,
395.0700073,34.94347382,
396,36.20352173,
397.0700073,39.66720963,
398,45.29823303,
399.0700073,48.19759369,
400,54.99516296,
401.0599976,56.21089172,
401.9599915,61.63720322,
403.0299988,64.82482147,
403.9299927,68.69350433,
405,76.25217438,
406.0599976,80.63588715,
406.9599915,86.04267883,
408.0299988,92.47228241,
408.9299927,93.04062653,
410,97.11355591,
411.0599976,110.6301498,
411.9599915,112.6891861,
413.0299988,119.9104691,
413.9299927,126.1218185,
415,129.7863312,
416.0599976,138.1979675,
416.9599915,145.252243,
418.0299988,156.6345825,
418.9299927,152.8275604,
420,162.788559,
421.0599976,172.5322723,
421.9599915,177.4072571,
423.0299988,181.6429443,
423.9299927,185.3625031,
425,194.7612152,
426.0599976,198.0899353,
426.9599915,207.6407928,
428.0299988,211.8876801,
428.9299927,211.5466766,
430,215.0824127,
431.0599976,217.5022125,
431.9599915,226.1038361,
433.0299988,226.6604156,
433.9299927,231.3085938,
435,233.7404175,
436.0599976,245.8075104,
436.9599915,240.3787537,
438.0299988,255.7118835,
438.9299927,254.2271881,
440,245.3134155,
441.0599976,255.4651794,
441.9599915,257.6848145,
443.0299988,261.3170471,
443.9299927,259.138092,
445,257.3278198,
446.0599976,266.4987488,
446.9599915,266.2348633,
448.0299988,261.9654846,
448.9299927,266.7892456,
450,268.0301819,
451.0599976,266.3294067,
451.9599915,264.5707397,
453.0299988,271.9536743,
453.9299927,270.415741,
455,269.7289124,
456.0599976,270.0942688,
456.9599915,275.5155029,
458.0299988,267.2360229,
458.9299927,267.2503357,
460,259.3760986,
461.0599976,266.1586304,
461.9599915,260.1134338,
463.0299988,256.8887939,
463.9299927,249.5908813,
465,246.9175873,
466.0599976,245.9477081,
466.9599915,246.5723877,
468.0299988,245.5659943,
468.9299927,238.1520386,
470,236.5616608,
471.0400085,235.4135437,
471.9400024,230.8664703,
472.980011,223.6389618,
474.019989,216.2351685,
475.0700073,210.7693634,
475.9700012,211.9031067,
477.0100098,211.8103943,
478.0499878,203.0673218,
478.9500122,200.9920349,
480,194.969696,
481.0400085,193.0361023,
481.9400024,193.5459595,
482.980011,187.4817963,
484.019989,182.071579,
485.0700073,175.4455566,
485.9700012,174.6943817,
487.0100098,171.0858459,
488.0499878,163.4772034,
488.9500122,156.9214783,
490,163.8675079,
491.0599976,156.5866394,
491.9599915,147.9445801,
493.0299988,144.3353424,
493.9299927,144.0432281,
495,134.6550903,
496.0599976,135.5701752,
496.9599915,135.0218658,
498.0299988,128.4002075,
498.9299927,119.7417908,
500,120.5672684,
501.0400085,115.0980072,
501.9400024,118.0162048,
502.980011,115.6956482,
504.019989,111.9732132,
505.0700073,103.7414474,
505.9700012,101.5522385,
507.0100098,101.7527237,
508.0499878,95.88486481,
508.9500122,100.1667404,
510,96.99680328,
511.0400085,92.33184052,
511.9400024,85.47265625,
512.9799805,85.39877319,
514.0200195,83.17237854,
515.0700073,79.80196381,
515.9699707,78.73511505,
517.0100098,72.8256073,
518.0499878,72.13582611,
518.9500122,69.76531219,
520,68.15797424,
521.0200195,69.70888519,
522.0499878,64.53596497,
522.9400024,61.63544846,
523.9699707,62.20051956,
525,61.61507797,
526.0200195,56.62368393,
527.0499878,57.49593735,
527.9400024,53.10765839,
528.9699707,52.37350845,
530,51.84199524,
531.039978,51.12931442,
531.9400024,48.88220978,
532.9799805,44.69152832,
534.0200195,43.68471146,
535.0700073,43.37423706,
535.9699707,42.93577957,
537.0100098,38.70264435,
538.0499878,39.93704605,
538.9500122,40.3273735,
540,37.82839203,
541.0200195,32.90000153,
