blank,,
Wavelength (nm),Intensity (a.u.),
380,9.72664547,
381.0599976,8.202964783,
381.9599915,8.524974823,
383.0299988,9.522417068,
383.9299927,9.252679825,
385,10.01242256,
386.0599976,9.866856575,
386.9599915,9.055188179,
388.0299988,9.155198097,
388.9299927,8.788929939,
390,9.652003288,
391.0700073,10.58852482,
392,10.61437988,
393.0700073,9.540003777,
394,9.316534042,
395.0700073,10.93277931,
396,11.32104301,
397.0700073,11.1338644,
398,10.76538467,
399.0700073,11.96620274,
400,12.02442169,
401.0599976,11.9003973,
401.9599915,10.28285408,
403.0299988,11.23457623,
403.9299927,9.953791618,
405,8.934592247,
406.0599976,8.256937027,
406.9599915,8.334619522,
408.0299988,8.348880768,
408.9299927,7.949631691,
410,7.154525757,
411.0599976,7.472867012,
411.9599915,7.873054504,
413.0299988,7.906162262,
413.9299927,8.076952934,
415,7.586091042,
416.0599976,6.834614754,
416.9599915,6.57245636,
418.0299988,6.786955833,
418.9299927,5.912162304,
420,6.394374371,
421.0599976,6.927527428,
421.9599915,7.770580292,
423.0299988,6.082943439,
423.9299927,6.35161829,
425,6.152159691,
426.0599976,5.437363148,
426.9599915,5.934254646,
428.0299988,5.381519794,
428.9299927,6.386775494,
430,5.258288383,
431.0599976,5.751747131,
431.9599915,4.903639793,
433.0299988,5.349888802,
433.9299927,4.271548271,
435,5.296594143,
436.0599976,4.098485947,
436.9599915,4.467115402,
438.0299988,4.927782536,
438.9299927,5.43859148,
440,4.461091042,
441.0599976,3.921690464,
441.9599915,4.704644203,
443.0299988,3.897128344,
443.9299927,4.218637943,
445,3.576559782,
446.0599976,3.958633661,
446.9599915,4.321270466,
448.0299988,4.143224239,
448.9299927,4.397033691,
450,4.101836681,
451.0599976,3.850426912,
451.9599915,4.480122089,
453.0299988,2.878839731,
453.9299927,2.983886957,
455,3.365377426,
456.0599976,4.032983303,
456.9599915,4.086923122,
458.0299988,3.187759161,
458.9299927,3.726877451,
460,2.625588179,
461.0599976,2.859414577,
461.9599915,2.259117842,
463.0299988,2.358346939,
463.9299927,3.129089832,
465,3.030117512,
466.0599976,2.453611374,
466.9599915,3.178689003,
468.0299988,2.611288786,
468.9299927,1.997584224,
470,2.613049746,
471.0400085,2.456622839,
471.9400024,2.510434389,
472.980011,2.459948778,
474.019989,2.401425362,
475.0700073,2.481851578,
475.9700012,2.188659191,
477.0100098,2.777434826,
478.0499878,2.341562033,
478.9500122,1.884306669,
480,1.336960673,
481.0400085,2.047622919,
481.9400024,1.846153855,
482.980011,1.953094721,
484.019989,1.61438036,
485.0700073,1.448337436,
485.9700012,2.036818266,
487.0100098,1.332362413,
488.0499878,1.973146796,
488.9500122,1.194131732,
490,1.624180079,
491.0599976,1.259720087,
491.9599915,1.109912634,
493.0299988,1.026694059,
493.9299927,1.069137573,
495,1.110083342,
496.0599976,0.8227130771,
496.9599915,1.422452807,
498.0299988,0.9436005354,
498.9299927,1.69850719,
500,1.360359192,
501.0400085,1.300060153,
501.9400024,0.9296462536,
502.980011,0.9883283377,
504.019989,1.018138528,
505.0700073,1.12987268,
505.9700012,0.8436445594,
507.0100098,0.6247656941,
508.0499878,1.180854917,
508.9500122,1.00148654,
510,1.111385584,
511.0400085,0.7861140966,
511.9400024,1.179059863,
512.9799805,0.9548257589,
514.0200195,0.6580860615,
515.0700073,0.5829158425,
515.9699707,0.9364026189,
517.0100098,0.4920049012,
518.0499878,0.7609050274,
518.9500122,0.72281003,
520,0.7205739617,
521.0200195,0.3978484273,
522.0499878,0.4337521195,
522.9400024,0.5937407017,
523.9699707,0.8880586624,
525,0.4732607603,
526.0200195,0.3762404025,
527.0499878,0.532125175,
527.9400024,0.342972964,
528.9699707,0.8438947797,
530,0.6042752862,
531.039978,0.735722363,
531.9400024,0.4138565361,
532.9799805,0.5563909411,
534.0200195,0.5896134973,
535.0700073,0.4915891886,
535.9699707,0.5345659852,
537.0100098,0.2368508279,
538.0499878,0.2844320834,
538.9500122,0.283790797,
540,0.7192782164,
541.0200195,0.1281455755,
542.0499878,0.6148025393,
542.9400024,0.3542494774,
543.9699707,0.2524654865,
545,0.6181351542,
546.0200195,0.471518755,
547.0499878,0.2176786065,
547.9400024,0.4395052493,
548.9699707,0.3465603888,
550,0.2843871415,
551.039978,0.2310037762,
551.9400024,0.07838464528,
552.9799805,0.2062738985,
554.0200195,0.3004000187,
555.0700073,0.1875879318,
555.9699707,0.1584861428,
557.0100098,0.5506439209,
558.0499878,0.2946924269,
558.9500122,0.247701019,
560,0.1083608046,
561.0200195,0.1666464657,
562.0499878,0.04559547454,
562.9400024,0.1094468236,
563.9699707,0.1248907223,
565,0.2040047646,
566.0200195,0.227953136,
567.0499878,0.09403209388,
567.9400024,0.2628364563,
568.9699707,0.1985854656,
570,0.3032922447,
571.0200195,0.1992337257,
572.0499878,0.3064946234,
572.9400024,0.1847290695,
573.9699707,0.1836997122,
575,0.1242621914,
576.0200195,0.09138122201,
577.0499878,0.2927445471,
577.9400024,0.1845586002,
578.9699707,0,
580,0.229301706,

blank,
blank
Collection Time: 10/30/2025 4:34:04 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY14470004
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        380.00
Stop (nm)                         580.00
Ex. Wavelength (nm)               350.00
Ex. Slit (nm)                     2.5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : C:\Users\Public\Documents\Agilent\Cary Eclipse WInFLR\Default.FMSW
